Method,rs,M/N,Percentage of Virtuals Required,Active Spin Orbitals Required,Target Spin Orbitals,Number of Electrons
composite CCD/MP2,4,4.066265060240964,0.5442043222003929,886,1350,332
composite CCD/MP2,4,4.156626506024097,0.5286259541984732,886,1380,332
composite CCD/MP2,4,4.228915662650603,0.5167910447761194,886,1404,332
composite CCD/MP2,4,4.391566265060241,0.5150976909413855,912,1458,332
composite CCD/MP2,4,4.445783132530121,0.506993006993007,912,1476,332
composite CCD/MP2,4,4.524096385542169,0.49572649572649574,912,1502,332
composite CCD/MP2,4,4.632530120481928,0.48092868988391374,912,1538,332
composite CCD/MP2,4,4.72289156626506,0.5080906148867314,960,1568,332
composite CCD/MP2,1,1.036144578313253,1.0,344,344,332
composite CCD/MP2,1,1.108433734939759,0.3333333333333333,344,368,332
composite CCD/MP2,1,1.180722891566265,0.2,344,392,332
composite CCD/MP2,1,1.2349397590361446,0.7692307692307693,392,410,332
composite CCD/MP2,1,1.3072289156626506,1.0,434,434,332
composite CCD/MP2,1,1.3975903614457832,1.0,464,464,332
composite CCD/MP2,1,1.4337349397590362,0.9166666666666666,464,476,332
composite CCD/MP2,1,1.5120481927710843,1.0,502,502,332
composite CCD/MP2,1,1.6385542168674698,1.0,544,544,332
composite CCD/MP2,1,1.7108433734939759,1.0,568,568,332
composite CCD/MP2,1,1.7469879518072289,0.9516129032258065,568,580,332
composite CCD/MP2,1,1.8373493975903614,1.0,610,610,332
composite CCD/MP2,1,1.891566265060241,0.9391891891891891,610,628,332
composite CCD/MP2,1,1.963855421686747,0.925,628,652,332
composite CCD/MP2,1,2.108433734939759,1.0,700,700,332
composite CCD/MP2,1,2.1626506024096384,0.9533678756476683,700,718,332
composite CCD/MP2,1,2.2710843373493974,0.8720379146919431,700,754,332
composite CCD/MP2,1,2.3433734939759034,0.8654708520179372,718,778,332
composite CCD/MP2,1,2.397590361445783,0.8318965517241379,718,796,332
composite CCD/MP2,1,2.5060240963855422,0.844,754,832,332
composite CCD/MP2,1,2.5963855421686746,0.8415094339622642,778,862,332
composite CCD/MP2,1,2.6686746987951806,0.8050541516245487,778,886,332
composite CCD/MP2,1,2.746987951807229,0.8,796,912,332
composite CCD/MP2,1,2.891566265060241,0.7961783439490446,832,960,332
composite CCD/MP2,1,2.9457831325301207,0.7739938080495357,832,978,332
composite CCD/MP2,1,3.036144578313253,0.7396449704142012,832,1008,332
composite CCD/MP2,1,3.180722891566265,0.7320441988950276,862,1056,332
composite CCD/MP2,1,3.216867469879518,0.720108695652174,862,1068,332
composite CCD/MP2,1,3.325301204819277,0.6865284974093264,862,1104,332
composite CCD/MP2,1,3.4879518072289155,0.6416464891041163,862,1158,332
composite CCD/MP2,1,3.5240963855421685,0.6324582338902148,862,1170,332
composite CCD/MP2,1,3.5963855421686746,0.6148491879350348,862,1194,332
composite CCD/MP2,1,3.6867469879518073,0.594170403587444,862,1224,332
composite CCD/MP2,1,3.7951807228915664,0.5969827586206896,886,1260,332
composite CCD/MP2,1,3.9397590361445785,0.5676229508196722,886,1308,332
composite CCD/MP2,1,4.066265060240964,0.5442043222003929,886,1350,332
composite CCD/MP2,1,4.156626506024097,0.5286259541984732,886,1380,332
composite CCD/MP2,1,4.228915662650603,0.5167910447761194,886,1404,332
composite CCD/MP2,1,4.391566265060241,0.4920071047957371,886,1458,332
composite CCD/MP2,1,4.445783132530121,0.48426573426573427,886,1476,332
composite CCD/MP2,1,4.524096385542169,0.49572649572649574,912,1502,332
composite CCD/MP2,1,4.632530120481928,0.48092868988391374,912,1538,332
composite CCD/MP2,1,4.72289156626506,0.4692556634304207,912,1568,332
composite CCD/dRPA,4,1.036144578313253,1.0,344,344,332
composite CCD/dRPA,4,1.108433734939759,0.3333333333333333,344,368,332
composite CCD/dRPA,4,1.180722891566265,0.2,344,392,332
composite CCD/dRPA,4,1.2349397590361446,0.15384615384615385,344,410,332
